FDRA,Station 1,Station 2,Station 3,Index,Fuel_Model,fd_chi2_ffp,fd_chi2_py,fd_chi2_diff,fd_pvalue_ffp,fd_pvalue_py,fd_pvalue_diff,fd_r2_ffp,fd_r2_py,fd_r2_diff,mfd_chi2_ffp,mfd_chi2_py,mfd_chi2_diff,mfd_pvalue_ffp,mfd_pvalue_py,mfd_pvalue_diff,mfd_r2_ffp,mfd_r2_py,mfd_r2_diff,lfd_chi2_ffp,lfd_chi2_py,lfd_chi2_diff,lfd_pvalue_ffp,lfd_pvalue_py,lfd_pvalue_diff,lfd_r2_ffp,lfd_r2_py,lfd_r2_diff,lfd_Days_ffp,lfd_Days_py,lfd_Days_diff,lfd_Total_ffp,lfd_Total_py,lfd_Total_diff
Baldy,352330,352332.0,,ERC,Y,18.96,30.0,11.04,0.0151,0.0002,-0.0149,0.59,0.655,0.06500000000000006,10.16,30.0,19.84,0.2541,0.0002,-0.2539,0.17,0.525,0.355,13.45,30.0,16.55,0.0365,0.0002,-0.0363,0.23,0.46,0.23,11,11,0,150,2550,2400
Baldy,352330,352712.0,,ERC,Y,15.08,30.0,14.92,0.0576,0.0002,-0.0574,0.59,0.662,0.07200000000000006,8.75,30.0,21.25,0.3637,0.0002,-0.36350000000000005,0.42,0.681,0.26100000000000007,6.47,30.0,23.53,0.4856,0.0002,-0.4854,0.35,0.613,0.263,11,11,0,150,2550,2400
Baldy,352330,353428.0,,ERC,Y,0.0,30.0,30.0,0.0,0.0002,0.0002,0.0,0.629,0.629,0.0,30.0,30.0,0.0,0.0002,0.0002,0.0,0.386,0.386,0.0,30.0,30.0,0.0,0.0002,0.0002,0.0,0.572,0.572,11,11,0,150,2550,2400
Baldy,352332,352712.0,,ERC,Y,14.41,30.0,15.59,0.0716,0.0002,-0.07139999999999999,0.62,0.738,0.118,12.43,30.0,17.57,0.1329,0.0002,-0.13269999999999998,0.27,0.677,0.40700000000000003,9.83,30.0,20.17,0.1982,0.0002,-0.19799999999999998,0.2,0.541,0.341,11,11,0,150,2550,2400
Baldy,352701,352712.0,,ERC,Y,25.59,30.0,4.41,0.0012,0.0002,-0.0009999999999999998,0.48,0.561,0.08100000000000007,8.88,30.0,21.119999999999997,0.3521,0.0002,-0.35190000000000005,0.4,0.649,0.249,3.99,30.0,26.009999999999998,0.6781,0.0002,-0.6779000000000001,0.49,0.506,0.016000000000000014,11,11,0,150,2549,2399
Baldy,352107,352332.0,352712.0,ERC,Y,14.88,30.0,15.12,0.0615,0.0002,-0.0613,0.6,0.699,0.09899999999999998,12.63,30.0,17.369999999999997,0.1252,0.0002,-0.125,0.25,0.466,0.21600000000000003,16.84,30.0,13.16,0.0185,0.0002,-0.0183,0.19,0.613,0.423,11,11,0,150,2550,2400
Baldy,352109,352208.0,352327.0,ERC,Y,11.79,30.0,18.21,0.161,0.0002,-0.1608,0.73,0.709,-0.02100000000000002,9.52,30.0,20.48,0.3002,0.0002,-0.30000000000000004,0.38,0.832,0.45199999999999996,11.36,30.0,18.64,0.0779,0.0002,-0.07769999999999999,0.25,0.43,0.18,11,11,0,150,2550,2400
Baldy,352109,352208.0,352329.0,ERC,Y,12.64,30.0,17.36,0.125,0.0002,-0.1248,0.7,0.768,0.06800000000000006,4.98,30.0,25.02,0.7595,0.0002,-0.7593,0.56,0.844,0.2839999999999999,7.79,30.0,22.21,0.3517,0.0002,-0.35150000000000003,0.3,0.425,0.125,11,11,0,150,2550,2400
Baldy,352109,352208.0,352332.0,ERC,Y,22.58,30.0,7.420000000000002,0.004,0.0002,-0.0038,0.6,0.75,0.15000000000000002,9.0,30.0,21.0,0.342,0.0002,-0.34180000000000005,0.37,0.775,0.405,11.39,30.0,18.61,0.077,0.0002,-0.0768,0.24,0.615,0.375,11,11,0,150,2550,2400
Baldy,352109,352208.0,352701.0,ERC,Y,24.4,30.0,5.600000000000001,0.002,0.0002,-0.0018,0.58,0.731,0.15100000000000002,6.0,30.0,24.0,0.6476,0.0002,-0.6474,0.54,0.832,0.2919999999999999,13.0,30.0,17.0,0.0721,0.0002,-0.07189999999999999,0.28,0.452,0.172,11,11,0,150,2549,2399
Baldy,352109,352208.0,352712.0,ERC,Y,19.59,30.0,10.41,0.012,0.0002,-0.0118,0.59,0.679,0.08900000000000008,8.82,30.0,21.18,0.3578,0.0002,-0.35760000000000003,0.45,0.61,0.15999999999999998,11.14,30.0,18.86,0.1325,0.0002,-0.1323,0.29,0.4,0.11000000000000004,11,11,0,150,2549,2399
Baldy,352109,352208.0,353428.0,ERC,Y,20.02,30.0,9.98,0.0102,0.0002,-0.01,0.58,0.632,0.052000000000000046,13.71,30.0,16.29,0.0896,0.0002,-0.0894,0.33,0.659,0.329,11.68,30.0,18.32,0.1117,0.0002,-0.11149999999999999,0.24,0.573,0.33299999999999996,11,11,0,150,2549,2399
Baldy,352109,352327.0,352332.0,ERC,Y,16.8,30.0,13.2,0.0323,0.0002,-0.032100000000000004,0.61,0.71,0.09999999999999998,6.82,30.0,23.18,0.5563,0.0002,-0.5561,0.44,0.794,0.35400000000000004,13.28,30.0,16.72,0.0655,0.0002,-0.0653,0.22,0.403,0.18300000000000002,11,11,0,150,2550,2400
Baldy,352109,352327.0,352712.0,ERC,Y,11.08,30.0,18.92,0.1973,0.0002,-0.1971,0.67,0.741,0.07099999999999995,13.12,30.0,16.880000000000003,0.1076,0.0002,-0.1074,0.39,0.641,0.251,10.34,30.0,19.66,0.17,0.0002,-0.1698,0.26,0.507,0.247,11,11,0,150,2550,2400
Baldy,352109,352329.0,352332.0,ERC,Y,8.15,30.0,21.85,0.4192,0.0002,-0.41900000000000004,0.77,0.728,-0.04200000000000004,4.56,30.0,25.44,0.8031,0.0002,-0.8029000000000001,0.51,0.626,0.11599999999999999,8.92,30.0,21.08,0.2583,0.0002,-0.2581,0.28,0.458,0.178,11,11,0,150,2550,2400
Baldy,352109,352329.0,352701.0,ERC,Y,15.29,30.0,14.71,0.0537,0.0002,-0.0535,0.64,0.735,0.09499999999999997,11.09,30.0,18.91,0.1965,0.0002,-0.1963,0.38,0.85,0.47,5.85,30.0,24.15,0.5568,0.0002,-0.5566,0.35,0.576,0.22599999999999998,11,11,0,150,2550,2400
Baldy,352109,352329.0,352712.0,ERC,Y,18.41,30.0,11.59,0.0183,0.0002,-0.0181,0.57,0.711,0.14100000000000001,16.01,30.0,13.989999999999998,0.0422,0.0002,-0.042,0.33,0.669,0.339,9.68,30.0,20.32,0.2074,0.0002,-0.2072,0.24,0.426,0.186,11,11,0,150,2550,2400
Baldy,352109,352332.0,352712.0,ERC,Y,15.41,30.0,14.59,0.0517,0.0002,-0.051500000000000004,0.61,0.678,0.06800000000000006,14.15,30.0,15.85,0.0779,0.0002,-0.07769999999999999,0.3,0.661,0.36100000000000004,10.89,30.0,19.11,0.092,0.0002,-0.09179999999999999,0.27,0.533,0.263,11,11,0,150,2550,2400
Baldy,352109,352701.0,352712.0,ERC,Y,17.89,30.0,12.11,0.0221,0.0002,-0.021900000000000003,0.59,0.648,0.05800000000000005,9.93,30.0,20.07,0.2699,0.0002,-0.2697,0.43,0.79,0.36000000000000004,6.62,30.0,23.38,0.4699,0.0002,-0.4697,0.37,0.701,0.33099999999999996,11,11,0,150,2549,2399
Baldy,352208,352327.0,352332.0,ERC,Y,26.86,30.0,3.1400000000000006,0.0007,0.0002,-0.0005,0.53,0.646,0.11599999999999999,8.2,30.0,21.8,0.4144,0.0002,-0.4142,0.3,0.464,0.16400000000000003,16.78,30.0,13.219999999999999,0.0189,0.0002,-0.0187,0.19,0.402,0.21200000000000002,11,11,0,150,2550,2400
Baldy,352208,352327.0,352712.0,ERC,Y,21.84,30.0,8.16,0.0052,0.0002,-0.005,0.55,0.673,0.123,8.38,30.0,21.619999999999997,0.3973,0.0002,-0.3971,0.4,0.756,0.356,12.64,30.0,17.36,0.0813,0.0002,-0.08109999999999999,0.21,0.616,0.406,11,11,0,150,2550,2400
Baldy,352208,352329.0,352332.0,ERC,Y,14.02,30.0,15.98,0.0813,0.0002,-0.08109999999999999,0.68,0.788,0.10799999999999998,12.16,30.0,17.84,0.1442,0.0002,-0.144,0.2,0.795,0.595,9.52,30.0,20.48,0.1466,0.0002,-0.1464,0.23,0.575,0.345,11,11,0,150,2550,2400
Baldy,352208,352329.0,352701.0,ERC,Y,16.48,30.0,13.52,0.036,0.0002,-0.0358,0.65,0.72,0.06999999999999995,5.16,30.0,24.84,0.7407,0.0002,-0.7405,0.46,0.85,0.38999999999999996,7.33,30.0,22.67,0.3956,0.0002,-0.39540000000000003,0.32,0.615,0.295,11,11,0,150,2550,2400
Baldy,352208,352329.0,352712.0,ERC,Y,17.01,30.0,12.989999999999998,0.03,0.0002,-0.0298,0.63,0.721,0.09099999999999997,10.02,30.0,19.98,0.2639,0.0002,-0.26370000000000005,0.33,0.607,0.27699999999999997,10.3,30.0,19.7,0.1723,0.0002,-0.1721,0.24,0.53,0.29000000000000004,11,11,0,150,2550,2400
Baldy,352208,352332.0,352712.0,ERC,Y,17.02,30.0,12.98,0.0299,0.0002,-0.0297,0.62,0.701,0.08099999999999996,7.93,30.0,22.07,0.4401,0.0002,-0.4399,0.35,0.63,0.28,9.85,30.0,20.15,0.1974,0.0002,-0.1972,0.23,0.614,0.384,11,11,0,150,2550,2400
Baldy,352208,352701.0,352712.0,ERC,Y,21.83,30.0,8.170000000000002,0.0052,0.0002,-0.005,0.56,0.654,0.09399999999999997,7.04,30.0,22.96,0.532,0.0002,-0.5318,0.43,0.676,0.24600000000000005,7.81,30.0,22.19,0.3501,0.0002,-0.34990000000000004,0.34,0.54,0.2,11,11,0,150,2549,2399
Baldy,352327,352332.0,352712.0,ERC,Y,14.91,30.0,15.09,0.0609,0.0002,-0.060700000000000004,0.59,0.681,0.09100000000000008,9.76,30.0,20.240000000000002,0.2825,0.0002,-0.2823,0.34,0.646,0.306,13.54,30.0,16.46,0.0601,0.0002,-0.0599,0.19,0.351,0.16099999999999998,11,11,0,150,2550,2400
Baldy,352329,352332.0,352712.0,ERC,Y,11.4,30.0,18.6,0.18,0.0002,-0.1798,0.66,0.795,0.135,8.21,30.0,21.79,0.4135,0.0002,-0.4133,0.32,0.54,0.22000000000000003,11.34,30.0,18.66,0.1247,0.0002,-0.1245,0.23,0.534,0.30400000000000005,11,11,0,150,2550,2400
Baldy,352329,352701.0,352712.0,ERC,Y,13.33,30.0,16.67,0.1011,0.0002,-0.10089999999999999,0.66,0.727,0.06699999999999995,8.58,30.0,21.42,0.3787,0.0002,-0.3785,0.42,0.614,0.194,6.11,30.0,23.89,0.527,0.0002,-0.5268,0.38,0.573,0.19299999999999995,11,11,0,150,2550,2400
Baldy,352330,352332.0,352712.0,ERC,Y,13.96,30.0,16.04,0.0829,0.0002,-0.0827,0.63,0.777,0.14700000000000002,5.44,30.0,24.56,0.7099,0.0002,-0.7097,0.43,0.636,0.20600000000000002,12.96,30.0,17.04,0.0436,0.0002,-0.0434,0.23,0.542,0.31200000000000006,11,11,0,150,2550,2400
Baldy,352330,352701.0,352712.0,ERC,Y,17.76,30.0,12.239999999999998,0.0231,0.0002,-0.0229,0.58,0.598,0.018000000000000016,5.04,30.0,24.96,0.7532,0.0002,-0.753,0.55,0.616,0.06599999999999995,5.21,30.0,24.79,0.6342,0.0002,-0.634,0.39,0.543,0.15300000000000002,11,11,0,150,2550,2400
Baldy,350915,352207.0,,BI,Y,10.69,30.0,19.310000000000002,0.2198,0.0002,-0.2196,0.37,0.372,0.0020000000000000018,9.92,30.0,20.08,0.2708,0.0002,-0.2706,0.02,0.172,0.152,11.99,30.0,18.009999999999998,0.0621,0.0002,-0.061900000000000004,0.21,0.254,0.04400000000000001,11,11,0,150,2549,2399
Baldy,350915,352712.0,,BI,Y,5.32,30.0,24.68,0.7231,0.0002,-0.7229,0.69,0.651,-0.038999999999999924,7.98,30.0,22.02,0.4358,0.0002,-0.43560000000000004,0.33,0.474,0.14399999999999996,13.97,30.0,16.03,0.03,0.0002,-0.0298,0.09,0.208,0.118,11,11,0,150,2549,2399
Baldy,352107,352207.0,,BI,Y,9.15,30.0,20.85,0.3297,0.0002,-0.3295,0.39,0.218,-0.17200000000000001,6.95,30.0,23.05,0.5417,0.0002,-0.5415,0.0,0.205,0.205,8.07,30.0,21.93,0.1527,0.0002,-0.1525,0.28,0.376,0.09599999999999997,11,11,0,150,2549,2399
